grupo,score_medio,score_max,deteccion_%
sano_test,0.44759998998724776,0.6653969118121211,100.0
fallo_barra_rota_1_DTC_S1200,0.479235,0.506964,0.0
fallo_barra_rota_1_DTC_S1500,0.43951,0.465088,0.0
fallo_barra_rota_1_DTC_S900,0.500313,0.55483,0.0
fallo_barra_rota_1_scalar_S1200,0.471232,0.496212,0.0
fallo_barra_rota_1_scalar_S1500,0.438783,0.457683,0.0
fallo_barra_rota_1_scalar_S900,0.48654,0.529924,0.0
fallo_barra_rota_DTC_S1200,0.477245,0.549252,0.0
fallo_barra_rota_DTC_S1500,0.446326,0.604639,0.0
fallo_barra_rota_DTC_S20,0.465377,0.488059,0.0
fallo_barra_rota_DTC_S900,0.516448,0.647348,0.0
fallo_barra_rota_DTC_SSteps,0.500468,0.650958,0.0
fallo_barra_rota_DTC_STrap,0.475903,0.639401,0.0
fallo_barra_rota_grid_S1500,0.518814,0.645507,0.0
fallo_barra_rota_grid_SStart,0.422146,0.700118,0.0
fallo_barra_rota_scalar_S1200,0.437294,0.460668,0.0
fallo_barra_rota_scalar_S1500,0.429253,0.600402,0.0
fallo_barra_rota_scalar_S900,0.481719,0.622,0.0
fallo_barra_rota_scalar_SSteps,0.493754,0.657306,0.0
fallo_barra_rota_scalar_STrap,0.48908,0.640388,0.0
fallo_rodamiento_agujero_6mm_DTC_S1200,0.449555,0.478774,0.0
fallo_rodamiento_agujero_6mm_DTC_S1500,0.483085,0.72806,0.0
fallo_rodamiento_agujero_6mm_DTC_S900,0.461987,0.748223,0.0
fallo_rodamiento_agujero_6mm_DTC_STrap,0.414072,0.745497,0.0
fallo_rodamiento_agujero_6mm_grid_S1500,0.566785,0.579482,0.0
fallo_rodamiento_agujero_6mm_grid_SStart,0.422429,0.772898,1.0
fallo_rodamiento_agujero_6mm_scalar_S1200,0.446434,0.472041,0.0
fallo_rodamiento_agujero_6mm_scalar_S1500,0.470596,0.728147,0.0
fallo_rodamiento_agujero_6mm_scalar_S900,0.460775,0.71164,0.0
fallo_rodamiento_agujero_6mm_scalar_STrap,0.408787,0.755414,0.0
fallo_rodamiento_groove_DTC_S1200,0.442375,0.462593,0.0
fallo_rodamiento_groove_DTC_S1500,0.433278,0.671894,0.0
fallo_rodamiento_groove_DTC_S900,0.45891,0.731115,0.0
fallo_rodamiento_groove_DTC_STrap,0.39115,0.723519,0.0
fallo_rodamiento_groove_grid_S1500,0.50717,0.681246,0.0
fallo_rodamiento_groove_grid_SStart,0.399028,0.764666,0.0
fallo_rodamiento_groove_scalar_S1200,0.436221,0.456403,0.0
fallo_rodamiento_groove_scalar_S1500,0.427144,0.652908,0.0
fallo_rodamiento_groove_scalar_S900,0.453582,0.702073,0.0
fallo_rodamiento_groove_scalar_STrap,0.390761,0.702987,0.0
