grupo,n_experimentos,detectados,deteccion_%,mediana_media,mediana_max
sano_test,8,3,37.5,0.388945,0.419438
fallo_barra_rota_1_DTC_S1200,4,3,75.0,0.423393,0.45632
fallo_barra_rota_1_DTC_S1500,4,0,0.0,0.376482,0.380141
fallo_barra_rota_1_DTC_S900,4,4,100.0,0.45686,0.509976
fallo_barra_rota_1_scalar_S1200,4,2,50.0,0.409115,0.438358
fallo_barra_rota_1_scalar_S1500,4,0,0.0,0.377522,0.38371
fallo_barra_rota_1_scalar_S900,4,4,100.0,0.437179,0.47987
fallo_barra_rota_DTC_S1200,9,4,44.4,0.404781,0.457468
fallo_barra_rota_DTC_S1500,12,1,8.3,0.387864,0.429772
fallo_barra_rota_DTC_S20,1,1,100.0,0.415102,0.415102
fallo_barra_rota_DTC_S900,13,12,92.3,0.45234,0.508368
fallo_barra_rota_DTC_SSteps,5,5,100.0,0.467311,0.486202
fallo_barra_rota_DTC_STrap,7,6,85.7,0.452657,0.493062
fallo_barra_rota_grid_S1500,6,6,100.0,0.488312,0.543242
fallo_barra_rota_grid_SStart,1,0,0.0,0.360882,0.360882
fallo_barra_rota_scalar_S1200,5,0,0.0,0.379562,0.386939
fallo_barra_rota_scalar_S1500,9,2,22.2,0.395091,0.471361
fallo_barra_rota_scalar_S900,9,8,88.9,0.444731,0.491003
fallo_barra_rota_scalar_SSteps,5,5,100.0,0.465229,0.483903
fallo_barra_rota_scalar_STrap,5,5,100.0,0.44717,0.466963
fallo_rodamiento_agujero_6mm_DTC_S1200,2,1,50.0,0.405743,0.411491
fallo_rodamiento_agujero_6mm_DTC_S1500,5,4,80.0,0.526377,0.617605
fallo_rodamiento_agujero_6mm_DTC_S900,3,1,33.3,0.395582,0.429869
fallo_rodamiento_agujero_6mm_DTC_STrap,4,0,0.0,0.360882,0.360882
fallo_rodamiento_agujero_6mm_grid_S1500,4,4,100.0,0.732792,0.752402
fallo_rodamiento_agujero_6mm_grid_SStart,1,0,0.0,0.360882,0.360882
fallo_rodamiento_agujero_6mm_scalar_S1200,2,1,50.0,0.396379,0.405411
fallo_rodamiento_agujero_6mm_scalar_S1500,5,4,80.0,0.486996,0.555547
fallo_rodamiento_agujero_6mm_scalar_S900,3,1,33.3,0.400762,0.441421
fallo_rodamiento_agujero_6mm_scalar_STrap,4,0,0.0,0.360882,0.360882
fallo_rodamiento_groove_DTC_S1200,2,0,0.0,0.388516,0.395396
fallo_rodamiento_groove_DTC_S1500,5,2,40.0,0.394132,0.416336
fallo_rodamiento_groove_DTC_S900,3,1,33.3,0.394133,0.433985
fallo_rodamiento_groove_DTC_STrap,4,0,0.0,0.360882,0.360882
fallo_rodamiento_groove_grid_S1500,6,5,83.3,0.460038,0.507639
fallo_rodamiento_groove_grid_SStart,1,0,0.0,0.360882,0.360882
fallo_rodamiento_groove_scalar_S1200,2,0,0.0,0.385056,0.393504
fallo_rodamiento_groove_scalar_S1500,5,2,40.0,0.38699,0.40485
fallo_rodamiento_groove_scalar_S900,3,1,33.3,0.392497,0.43109
fallo_rodamiento_groove_scalar_STrap,4,0,0.0,0.360882,0.360882
