grupo,n_exp,det_elec_%,det_vib_%,det_combinado_%
sano_test,8,12.5,37.5,50.0
fallo_barra_rota_1_DTC_S1200,4,50.0,75.0,100.0
fallo_barra_rota_1_DTC_S1500,4,0.0,0.0,0.0
fallo_barra_rota_1_DTC_S900,4,50.0,75.0,100.0
fallo_barra_rota_1_scalar_S1200,4,50.0,50.0,100.0
fallo_barra_rota_1_scalar_S1500,4,0.0,0.0,0.0
fallo_barra_rota_1_scalar_S900,4,50.0,75.0,100.0
fallo_barra_rota_DTC_S1200,9,44.4,44.4,66.7
fallo_barra_rota_DTC_S1500,12,8.3,25.0,33.3
fallo_barra_rota_DTC_S20,1,100.0,0.0,100.0
fallo_barra_rota_DTC_S900,13,61.5,92.3,92.3
fallo_barra_rota_DTC_SSteps,5,40.0,100.0,100.0
fallo_barra_rota_DTC_STrap,7,0.0,85.7,85.7
fallo_barra_rota_grid_S1500,6,100.0,100.0,100.0
fallo_barra_rota_grid_SStart,1,0.0,0.0,0.0
fallo_barra_rota_scalar_S1200,5,40.0,0.0,40.0
fallo_barra_rota_scalar_S1500,9,0.0,22.2,22.2
fallo_barra_rota_scalar_S900,9,33.3,88.9,88.9
fallo_barra_rota_scalar_SSteps,5,80.0,100.0,100.0
fallo_barra_rota_scalar_STrap,5,40.0,100.0,100.0
fallo_rodamiento_agujero_6mm_DTC_S1200,2,0.0,50.0,50.0
fallo_rodamiento_agujero_6mm_DTC_S1500,5,0.0,80.0,80.0
fallo_rodamiento_agujero_6mm_DTC_S900,3,0.0,33.3,33.3
fallo_rodamiento_agujero_6mm_DTC_STrap,4,0.0,0.0,0.0
fallo_rodamiento_agujero_6mm_grid_S1500,4,50.0,100.0,100.0
fallo_rodamiento_agujero_6mm_grid_SStart,1,0.0,0.0,0.0
fallo_rodamiento_agujero_6mm_scalar_S1200,2,0.0,50.0,50.0
fallo_rodamiento_agujero_6mm_scalar_S1500,5,0.0,80.0,80.0
fallo_rodamiento_agujero_6mm_scalar_S900,3,0.0,33.3,33.3
fallo_rodamiento_agujero_6mm_scalar_STrap,4,0.0,0.0,0.0
fallo_rodamiento_groove_DTC_S1200,2,0.0,0.0,0.0
fallo_rodamiento_groove_DTC_S1500,5,0.0,20.0,20.0
fallo_rodamiento_groove_DTC_S900,3,0.0,33.3,33.3
fallo_rodamiento_groove_DTC_STrap,4,0.0,0.0,0.0
fallo_rodamiento_groove_grid_S1500,6,33.3,83.3,83.3
fallo_rodamiento_groove_grid_SStart,1,0.0,0.0,0.0
fallo_rodamiento_groove_scalar_S1200,2,0.0,0.0,0.0
fallo_rodamiento_groove_scalar_S1500,5,0.0,0.0,0.0
fallo_rodamiento_groove_scalar_S900,3,0.0,33.3,33.3
fallo_rodamiento_groove_scalar_STrap,4,0.0,0.0,0.0
