grupo,n_exp,det_elec_%,det_vib_%,det_combinado_%
sano_test,8,62.5,37.5,62.5
fallo_barra_rota_1_DTC_S1200,4,0.0,75.0,75.0
fallo_barra_rota_1_DTC_S1500,4,0.0,0.0,0.0
fallo_barra_rota_1_DTC_S900,4,25.0,75.0,75.0
fallo_barra_rota_1_scalar_S1200,4,50.0,75.0,75.0
fallo_barra_rota_1_scalar_S1500,4,0.0,0.0,0.0
fallo_barra_rota_1_scalar_S900,4,25.0,75.0,75.0
fallo_barra_rota_DTC_S1200,9,33.3,44.4,44.4
fallo_barra_rota_DTC_S1500,12,0.0,41.7,41.7
fallo_barra_rota_DTC_S20,1,0.0,0.0,0.0
fallo_barra_rota_DTC_S900,13,61.5,92.3,92.3
fallo_barra_rota_DTC_SSteps,5,60.0,100.0,100.0
fallo_barra_rota_DTC_STrap,7,14.3,85.7,85.7
fallo_barra_rota_grid_S1500,6,100.0,100.0,100.0
fallo_barra_rota_grid_SStart,1,0.0,0.0,0.0
fallo_barra_rota_scalar_S1200,5,40.0,0.0,40.0
fallo_barra_rota_scalar_S1500,9,0.0,11.1,11.1
fallo_barra_rota_scalar_S900,9,11.1,88.9,88.9
fallo_barra_rota_scalar_SSteps,5,20.0,80.0,80.0
fallo_barra_rota_scalar_STrap,5,0.0,80.0,80.0
fallo_rodamiento_agujero_6mm_DTC_S1200,2,0.0,0.0,0.0
fallo_rodamiento_agujero_6mm_DTC_S1500,5,0.0,80.0,80.0
fallo_rodamiento_agujero_6mm_DTC_S900,3,33.3,33.3,33.3
fallo_rodamiento_agujero_6mm_DTC_STrap,4,0.0,0.0,0.0
fallo_rodamiento_agujero_6mm_grid_S1500,4,25.0,100.0,100.0
fallo_rodamiento_agujero_6mm_grid_SStart,1,0.0,0.0,0.0
fallo_rodamiento_agujero_6mm_scalar_S1200,2,50.0,0.0,50.0
fallo_rodamiento_agujero_6mm_scalar_S1500,5,0.0,80.0,80.0
fallo_rodamiento_agujero_6mm_scalar_S900,3,0.0,33.3,33.3
fallo_rodamiento_agujero_6mm_scalar_STrap,4,0.0,0.0,0.0
fallo_rodamiento_groove_DTC_S1200,2,0.0,0.0,0.0
fallo_rodamiento_groove_DTC_S1500,5,0.0,0.0,0.0
fallo_rodamiento_groove_DTC_S900,3,33.3,33.3,33.3
fallo_rodamiento_groove_DTC_STrap,4,0.0,0.0,0.0
fallo_rodamiento_groove_grid_S1500,6,16.7,83.3,83.3
fallo_rodamiento_groove_grid_SStart,1,0.0,0.0,0.0
fallo_rodamiento_groove_scalar_S1200,2,50.0,0.0,50.0
fallo_rodamiento_groove_scalar_S1500,5,0.0,0.0,0.0
fallo_rodamiento_groove_scalar_S900,3,0.0,33.3,33.3
fallo_rodamiento_groove_scalar_STrap,4,0.0,0.0,0.0
